n.node_id,n.longitude,n.latitude,elementid(n)
1794521369,20.6080589,-103.4355776,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10152
1430324075,20.6080705,-103.4254095,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5794
8366390736,20.6080803,-103.4258772,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14693
4620005044,20.6080912,-103.4206579,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12455
1450812322,20.6081025,-103.3687024,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6500
1691465172,20.6081198,-103.3937657,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9617
1452636053,20.6081329,-103.3808366,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6590
1430324098,20.60814,-103.4235199,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5796
1432255079,20.6081423,-103.3942506,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5844
1432255104,20.6081471,-103.3918239,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5848
7161370503,20.6081471,-103.3632566,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13614
1691465174,20.6081566,-103.3941472,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9618
1452636044,20.6081579,-103.3833254,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6588
1450810351,20.6081588,-103.3752993,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6447
8366390735,20.6081675,-103.4258197,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14692
1451045764,20.608171,-103.3787123,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6573
1427496412,20.6081814,-103.369244,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5739
1450810350,20.6081824,-103.3711664,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6446
2206032223,20.6081855,-103.3958051,4:8f62eafb-529f-4b3e-90b9-a12853359b86:11792
1800778141,20.608192,-103.4359173,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10319
1427496627,20.6081924,-103.3663836,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5772
7541410131,20.6082008,-103.3636464,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13643
8785028537,20.608203,-103.3948486,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14913
2206032224,20.6082216,-103.3958958,4:8f62eafb-529f-4b3e-90b9-a12853359b86:11793
2206032225,20.6082241,-103.3974554,4:8f62eafb-529f-4b3e-90b9-a12853359b86:11794
8785028538,20.608231,-103.3951133,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14914
1450812333,20.6082344,-103.3680596,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6504
1427496554,20.6082466,-103.3673685,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5746
7721524816,20.6082514,-103.3973639,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13924
6582421941,20.6082705,-103.4202423,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13517
1432255078,20.6082959,-103.3957611,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5843
1450810330,20.6082974,-103.3695679,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6429
7161370504,20.608299,-103.3632288,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13615
6148072009,20.6083139,-103.4218471,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12812
1455443709,20.6083166,-103.3958629,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6893
1427496660,20.6083167,-103.3654962,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5775
